condition,term,phenotype,age,n,n_values,mean,sd,q5,q25,q50,q75,q95
nvp_21w_24w,pregnancy_duration_preterm,weight,3m,382,307,5.30608960684198,0.953964712087042,3743,4685,5.33,5.92,6867
nvp_21w_24w,pregnancy_duration_preterm,weight,6m,382,312,7.09536955343226,1.0642371098196,5491,6.3625,7045,7.81,8.81575
nvp_21w_24w,pregnancy_duration_preterm,weight,8m,382,283,8.17979955882147,1.15511867732545,6437,7435,8.06,8.85929615303009,10189
nvp_21w_24w,pregnancy_duration_preterm,weight,1y,382,279,9.4595957312105,1.23136405404852,7809,8605,9.34,10.2057460744434,11.4465783658389
nvp_21w_24w,pregnancy_duration_preterm,weight,16m,382,215,10.4386717671721,1.2318529093187,8.75113474823118,9.51397292995493,10.3317374640545,11.2251290173493,12636
nvp_21w_24w,pregnancy_duration_preterm,weight,2y,382,214,12.2913174795969,1.62442470102108,10,11,12.2178213567706,13.4,15
nvp_21w_24w,pregnancy_duration_preterm,weight,3y,382,216,14.3818928031206,1.94253669872243,11.6424900893934,13,14.2,15.4906554122306,17.9613921276409
nvp_21w_24w,pregnancy_duration_preterm,weight,5y,382,182,19.1109078758852,2.98516140878091,15,17019,18.9,20.5,24.081072472605
nvp_21w_24w,pregnancy_duration_preterm,weight,7y,382,184,24.4890662284082,4.42424198157247,18575,21.7,23.5,26125,32.88
nvp_21w_24w,pregnancy_duration_preterm,weight,8y,382,155,28.1100614241148,5.67430998610183,21,24.35,27,31,40.22
nvp_21w_24w,pregnancy_duration_preterm,bmi,birth,382,320,11.8786311007888,1.66328080868502,9.20029658850172,10.7194669394005,11.8480459908259,12.9372795476837,14.6176593086214
nvp_21w_24w,pregnancy_duration_preterm,bmi,6w,382,203,14.0878982532292,1.63152233332173,11.4468269093355,13.1672023766041,14.061943752225,15.1641273866549,17.0338963291582
nvp_21w_24w,pregnancy_duration_preterm,bmi,3m,382,294,15.8762102830466,1.64488329393492,13.5407051282051,14.812259541132,15.8968887800218,16.9479556528494,18.5649453941121
nvp_21w_24w,pregnancy_duration_preterm,bmi,6m,382,307,16.7759548723687,1.53722483753766,14.558166097337,15.6506670246026,16.689004137288,17.6598351525952,19.546501710429
nvp_21w_24w,pregnancy_duration_preterm,bmi,8m,382,276,17.1285329936891,1.47121112334311,14.9496150325003,16.0160224517903,17.0727158448897,18.0566213404954,19.6736297998666
nvp_21w_24w,pregnancy_duration_preterm,bmi,1y,382,276,16.9893462419576,1.46124008164577,14.8968224981738,15.8827612569988,16.8303605143534,18.019054583023,19.5203104637089
nvp_21w_24w,pregnancy_duration_preterm,bmi,16m,382,210,16.6608202256703,1.39276995116315,14.5032365002532,15.6850405092593,16.5839803502373,17.6065025278627,18.9192399906001
nvp_21w_24w,pregnancy_duration_preterm,bmi,2y,382,209,16.196016043233,1.57511836215694,14.028361521734,15.1582812021625,16.0447151625476,17.1289687897843,18.6791820708671
nvp_21w_24w,pregnancy_duration_preterm,bmi,3y,382,209,15.8341059511101,1.65661697470382,13.6364426805425,14.9367474470355,15.6184922948771,16.5406427221172,18.6285351620742
nvp_21w_24w,pregnancy_duration_preterm,bmi,5y,382,177,15.349606359894,1.70197016354461,12.9008596730513,14.3636885952313,15.1502398787981,16.160255870718,17.9997570961646
